Horizon started successfully.
[2020-10-07 15:28:39][120] Processed:  App\Jobs\ReadHotspot\UpdateResumeHotspot
[2020-10-07 15:28:39][59] Processing: App\Jobs\ReadHotspot\HotspotModis
[2020-10-07 15:28:38][47] Failed:     App\Jobs\ReadHotspot\HotspotModis
[2020-10-07 15:28:38][57] Processing: App\Jobs\ReadHotspot\HotspotModis
[2020-10-07 15:28:40][55] Failed:     App\Jobs\ReadHotspot\HotspotModis
[2020-10-07 15:28:40][65] Processing: App\Jobs\ReadHotspot\HotspotModis
[2020-10-07 15:28:40][51] Failed:     App\Jobs\ReadHotspot\HotspotModis
[2020-10-07 15:28:40][63] Processing: App\Jobs\ReadHotspot\HotspotModis
[2020-10-07 15:28:40][53] Failed:     App\Jobs\ReadHotspot\HotspotModis
[2020-10-07 15:28:40][121] Processing: App\Jobs\ReadHotspot\UpdateResumeHotspot
[2020-10-07 15:28:40][121] Processed:  App\Jobs\ReadHotspot\UpdateResumeHotspot
[2020-10-07 15:28:40][61] Processing: App\Jobs\ReadHotspot\HotspotModis
[2020-10-07 15:28:42][57] Failed:     App\Jobs\ReadHotspot\HotspotModis
[2020-10-07 15:28:42][67] Processing: App\Jobs\ReadHotspot\HotspotModis
[2020-10-07 15:28:42][59] Failed:     App\Jobs\ReadHotspot\HotspotModis
[2020-10-07 15:28:42][122] Processing: App\Jobs\ReadHotspot\UpdateResumeHotspot
[2020-10-07 15:28:42][122] Processed:  App\Jobs\ReadHotspot\UpdateResumeHotspot
[2020-10-07 15:28:42][123] Processing: App\Jobs\ReadHotspot\UpdateResumeHotspot
[2020-10-07 15:28:42][123] Processed:  App\Jobs\ReadHotspot\UpdateResumeHotspot
[2020-10-07 15:28:42][69] Processing: App\Jobs\ReadHotspot\HotspotModis
[2020-10-07 15:28:44][65] Failed:     App\Jobs\ReadHotspot\HotspotModis
[2020-10-07 15:28:44][75] Processing: App\Jobs\ReadHotspot\HotspotModis
[2020-10-07 15:28:44][63] Failed:     App\Jobs\ReadHotspot\HotspotModis
[2020-10-07 15:28:44][73] Processing: App\Jobs\ReadHotspot\HotspotModis
[2020-10-07 15:28:44][61] Failed:     App\Jobs\ReadHotspot\HotspotModis
[2020-10-07 15:28:44][71] Processing: App\Jobs\ReadHotspot\HotspotModis
[2020-10-07 15:28:45][67] Failed:     App\Jobs\ReadHotspot\HotspotModis
[2020-10-07 15:28:45][77] Processing: App\Jobs\ReadHotspot\HotspotModis
